,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,41.50475244107288,97
1,0,5,1.0,5.0,43.7154698461868,96
2,0,10,1.0,10.0,43.34396242964501,97
3,0,15,1.0,15.0,42.718782959910676,96
4,5,0,1.0,0.0,41.20994129581698,97
5,5,5,1.0,5.0,43.5859346702971,96
6,5,10,1.0,10.0,43.139698270764455,95
7,5,15,1.0,15.0,42.523471666840905,94
8,10,0,1.0,0.0,40.748016346165684,97
9,10,5,1.0,5.0,42.97298640128679,96
10,10,10,1.0,10.0,42.35209538813967,95
11,10,15,1.0,15.0,41.74713627561258,95
12,15,0,1.0,0.0,40.16273578135496,96
13,15,5,1.0,5.0,42.185557826852204,96
14,15,10,1.0,10.0,41.45842002354908,96
15,15,15,0.75,13.75,40.8439040880557,96
