,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,No one had this pet species,No one had this pet species,38.52439329292677,100
1,0,5,No one had this pet species,No one had this pet species,38.53341069957493,100
2,0,10,No one had this pet species,No one had this pet species,37.470499551829796,100
3,0,15,No one had this pet species,No one had this pet species,36.3582255258335,100
4,5,0,No one had this pet species,No one had this pet species,37.43676555760837,100
5,5,5,No one had this pet species,No one had this pet species,37.40187853316493,100
6,5,10,No one had this pet species,No one had this pet species,36.01968598259923,100
7,5,15,No one had this pet species,No one had this pet species,34.78920044599211,100
8,10,0,No one had this pet species,No one had this pet species,36.50854527289643,100
9,10,5,No one had this pet species,No one had this pet species,36.21720682025558,100
10,10,10,No one had this pet species,No one had this pet species,35.08439771751992,100
11,10,15,No one had this pet species,No one had this pet species,33.8437408448062,100
12,15,0,No one had this pet species,No one had this pet species,35.586627702802076,100
13,15,5,No one had this pet species,No one had this pet species,35.30080647063191,100
14,15,10,No one had this pet species,No one had this pet species,34.24375263901727,100
15,15,15,No one had this pet species,No one had this pet species,32.970435674319305,100
