,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,No one had this pet species,No one had this pet species,37.1065156693901,100
1,0,5,No one had this pet species,No one had this pet species,37.20757910149817,100
2,0,10,No one had this pet species,No one had this pet species,36.27853889617065,100
3,0,15,No one had this pet species,No one had this pet species,35.203451241258875,100
4,5,0,No one had this pet species,No one had this pet species,36.244030253373026,100
5,5,5,No one had this pet species,No one had this pet species,36.37917320136266,100
6,5,10,No one had this pet species,No one had this pet species,35.00055382221062,100
7,5,15,No one had this pet species,No one had this pet species,34.103193914449164,100
8,10,0,No one had this pet species,No one had this pet species,35.37870901181835,100
9,10,5,No one had this pet species,No one had this pet species,35.19430148122623,100
10,10,10,No one had this pet species,No one had this pet species,34.04296491558478,100
11,10,15,No one had this pet species,No one had this pet species,32.86906004201641,100
12,15,0,No one had this pet species,No one had this pet species,34.310920738810935,100
13,15,5,No one had this pet species,No one had this pet species,34.10850668808081,100
14,15,10,No one had this pet species,No one had this pet species,32.92561510582452,100
15,15,15,No one had this pet species,No one had this pet species,31.622545683562947,100
