,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,48.17626999062103,93
1,0,5,0.7142857142857143,3.5714285714285716,46.93692583050196,95
2,0,10,0.42857142857142855,5.714285714285714,45.008737865914554,95
3,0,15,0.42857142857142855,7.857142857142857,43.39581524809793,94
4,5,0,1.0,0.0,46.382219350667164,95
5,5,5,0.6,3.0,45.32724762734838,94
6,5,10,0.4,5.0,43.786457178232574,95
7,5,15,0.4,7.0,41.7530349664217,94
8,10,0,1.0,0.0,44.44558856599772,96
9,10,5,0.75,3.75,43.009127433051134,93
10,10,10,0.75,7.5,41.226251732953095,92
11,10,15,0.25,8.75,39.355315643824966,94
12,15,0,1.0,0.0,41.29566795175038,99
13,15,5,1.0,5.0,40.38437686188543,96
14,15,10,1.0,10.0,38.53812143172592,97
15,15,15,1.0,15.0,36.832840552641485,97
