,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,56.42587052621662,83
1,0,5,0.9411764705882353,4.705882352941177,89.54782924386447,25
2,0,10,0.8823529411764706,9.117647058823529,88.89972440290325,23
3,0,15,0.7647058823529411,12.941176470588236,88.77647876791858,24
4,5,0,1.0,0.0,55.97875315943308,84
5,5,5,0.9375,4.6875,89.29122482688368,22
6,5,10,0.8125,8.75,88.85139746411485,24
7,5,15,0.75,12.5,88.54133466362164,29
8,10,0,1.0,0.0,55.4938930133899,83
9,10,5,0.8823529411764706,4.411764705882353,88.88290806121945,22
10,10,10,0.8235294117647058,8.529411764705882,88.6656908690344,27
11,10,15,0.6470588235294118,11.764705882352942,88.29441036925031,35
12,15,0,1.0,0.0,54.93496830787026,84
13,15,5,0.9375,4.6875,88.14493409498697,31
14,15,10,0.75,8.4375,87.82948924646664,38
15,15,15,0.75,12.1875,87.53753261756474,42
