,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,30.979467577032356,96
1,0,5,1.0,5.0,66.0962209973133,85
2,0,10,1.0,10.0,65.70636434380121,84
3,0,15,1.0,15.0,65.37774622391571,85
4,5,0,1.0,0.0,30.951714060135362,96
5,5,5,1.0,5.0,66.40878762635163,82
6,5,10,1.0,10.0,66.06606354241794,80
7,5,15,1.0,15.0,65.73887551011715,82
8,10,0,1.0,0.0,30.726437705282073,93
9,10,5,0.7142857142857143,3.5714285714285716,65.48913457441763,85
10,10,10,0.7142857142857143,7.142857142857143,65.04145200632185,84
11,10,15,0.5714285714285714,10.0,64.37274138572913,87
12,15,0,1.0,0.0,30.55518805956651,93
13,15,5,1.0,5.0,65.65784106146862,82
14,15,10,1.0,10.0,65.40941263790774,82
15,15,15,0.8571428571428571,14.285714285714286,64.85884104972578,82
