,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,56.909596995061136,83
1,0,5,1.0,5.0,92.23825116606982,20
2,0,10,0.8823529411764706,9.411764705882353,91.80454570368941,23
3,0,15,0.8235294117647058,13.529411764705882,91.56497522436472,21
4,5,0,1.0,0.0,56.44168895634412,82
5,5,5,0.8888888888888888,4.444444444444445,91.69048229878943,23
6,5,10,0.8333333333333334,8.61111111111111,91.38493870374862,21
7,5,15,0.8333333333333334,12.777777777777779,90.99259165798345,27
8,10,0,1.0,0.0,56.14959232398561,84
9,10,5,0.9375,4.6875,91.4257289378205,21
10,10,10,0.9375,9.375,90.98168012625214,27
11,10,15,0.9375,14.0625,90.65040866910606,31
12,15,0,1.0,0.0,55.80127429042537,85
13,15,5,1.0,5.0,91.11739137287182,26
14,15,10,1.0,10.0,90.76081146551329,30
15,15,15,0.8,14.0,90.28674486394156,39
