,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,No one had this pet species,No one had this pet species,27.450614376957752,100
1,0,5,No one had this pet species,No one had this pet species,74.88099937271468,94
2,0,10,No one had this pet species,No one had this pet species,74.62276494370126,93
3,0,15,No one had this pet species,No one had this pet species,74.07158741782636,92
4,5,0,No one had this pet species,No one had this pet species,27.26736452896209,100
5,5,5,No one had this pet species,No one had this pet species,74.73341539777599,91
6,5,10,No one had this pet species,No one had this pet species,74.38971405910446,92
7,5,15,No one had this pet species,No one had this pet species,74.25030084119093,91
8,10,0,1.0,0.0,27.31267066488124,99
9,10,5,0.0,0.0,74.6050444048156,91
10,10,10,0.0,0.0,74.23599235537793,91
11,10,15,0.0,0.0,73.84661463087572,93
12,15,0,1.0,0.0,27.116956115957738,98
13,15,5,1.0,5.0,74.55108437161346,90
14,15,10,1.0,10.0,74.08692667891385,90
15,15,15,0.5,12.5,73.2642729042422,93
