,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,54.57784644350177,81
1,0,5,0.8421052631578947,4.2105263157894735,96.31043566838032,24
2,0,10,0.7368421052631579,7.894736842105263,96.04817352045873,22
3,0,15,0.7368421052631579,11.578947368421053,95.7865632721116,18
4,5,0,1.0,0.0,54.25037160238506,79
5,5,5,0.9047619047619048,4.523809523809524,95.99074812723488,22
6,5,10,0.9047619047619048,9.047619047619047,95.72820733748733,18
7,5,15,0.9047619047619048,13.571428571428571,95.43705351643673,24
8,10,0,1.0,0.0,53.97443130490652,80
9,10,5,1.0,5.0,95.73824300118179,18
10,10,10,1.0,10.0,95.44932699792335,24
11,10,15,0.85,14.25,95.1115413603487,27
12,15,0,1.0,0.0,53.694982684343934,76
13,15,5,1.0,5.0,95.41169772786257,24
14,15,10,0.875,9.375,95.04598223454242,27
15,15,15,0.8333333333333334,13.541666666666666,94.67407661349156,32
